	G_intestinali_aa	G_muris_aa	G_salmonicida_aa
OG0005468			KAH0570125.1
OG0005469			KAH0570126.1
OG0005470			KAH0570127.1
OG0005471			KAH0570129.1
OG0005472			KAH0570131.1
OG0005473			KAH0570132.1
OG0005474			KAH0570133.1
OG0005475			KAH0570134.1
OG0005476			KAH0570136.1
OG0005477			KAH0570137.1
OG0005478			KAH0570140.1
OG0005479			KAH0570141.1
OG0005480			KAH0570142.1
OG0005481			KAH0570144.1
OG0005482			KAH0570145.1
OG0005483			KAH0570146.1
OG0005484			KAH0570147.1
OG0005485			KAH0570149.1
OG0005486			KAH0570151.1
OG0005487			KAH0570154.1
OG0005488			KAH0570157.1
OG0005489			KAH0570159.1
OG0005490			KAH0570160.1
OG0005491			KAH0570162.1
OG0005492			KAH0570166.1
OG0005493			KAH0570168.1
OG0005494			KAH0570169.1
OG0005495			KAH0570171.1
OG0005496			KAH0570173.1
OG0005497			KAH0570174.1
OG0005498			KAH0570175.1
OG0005499			KAH0570178.1
OG0005500			KAH0570180.1
OG0005501			KAH0570181.1
OG0005502			KAH0570186.1
OG0005503			KAH0570187.1
OG0005504			KAH0570188.1
OG0005505			KAH0570189.1
OG0005506			KAH0570190.1
OG0005507			KAH0570196.1
OG0005508			KAH0570197.1
OG0005509			KAH0570199.1
OG0005510			KAH0570200.1
OG0005511			KAH0570201.1
OG0005512			KAH0570203.1
OG0005513			KAH0570206.1
OG0005514			KAH0570207.1
OG0005515			KAH0570208.1
OG0005516			KAH0570211.1
OG0005517			KAH0570213.1
OG0005518			KAH0570215.1
OG0005519			KAH0570218.1
OG0005520			KAH0570219.1
OG0005521			KAH0570220.1
OG0005522			KAH0570221.1
OG0005523			KAH0570222.1
OG0005524			KAH0570223.1
OG0005525			KAH0570224.1
OG0005526			KAH0570225.1
OG0005527			KAH0570226.1
OG0005528			KAH0570228.1
OG0005529			KAH0570229.1
OG0005530			KAH0570230.1
OG0005531			KAH0570231.1
OG0005532			KAH0570232.1
OG0005533			KAH0570233.1
OG0005534			KAH0570234.1
OG0005535			KAH0570235.1
OG0005536			KAH0570236.1
OG0005537			KAH0570237.1
OG0005538			KAH0570239.1
OG0005539			KAH0570241.1
OG0005540			KAH0570242.1
OG0005541			KAH0570243.1
OG0005542			KAH0570244.1
OG0005543			KAH0570245.1
OG0005544			KAH0570246.1
OG0005545			KAH0570247.1
OG0005546			KAH0570252.1
OG0005547			KAH0570253.1
OG0005548			KAH0570254.1
OG0005549			KAH0570256.1
OG0005550			KAH0570257.1
OG0005551			KAH0570258.1
OG0005552			KAH0570261.1
OG0005553			KAH0570262.1
OG0005554			KAH0570264.1
OG0005555			KAH0570265.1
OG0005556			KAH0570266.1
OG0005557			KAH0570268.1
OG0005558			KAH0570269.1
OG0005559			KAH0570271.1
OG0005560			KAH0570273.1
OG0005561			KAH0570274.1
OG0005562			KAH0570276.1
OG0005563			KAH0570277.1
OG0005564			KAH0570279.1
OG0005565			KAH0570280.1
OG0005566			KAH0570281.1
OG0005567			KAH0570283.1
OG0005568			KAH0570284.1
OG0005569			KAH0570285.1
OG0005570			KAH0570288.1
OG0005571			KAH0570289.1
OG0005572			KAH0570290.1
OG0005573			KAH0570291.1
OG0005574			KAH0570293.1
OG0005575			KAH0570294.1
OG0005576			KAH0570296.1
OG0005577			KAH0570297.1
OG0005578			KAH0570298.1
OG0005579			KAH0570299.1
OG0005580			KAH0570301.1
OG0005581			KAH0570302.1
OG0005582			KAH0570303.1
OG0005583			KAH0570305.1
OG0005584			KAH0570307.1
OG0005585			KAH0570311.1
OG0005586			KAH0570313.1
OG0005587			KAH0570315.1
OG0005588			KAH0570317.1
OG0005589			KAH0570318.1
OG0005590			KAH0570319.1
OG0005591			KAH0570320.1
OG0005592			KAH0570322.1
OG0005593			KAH0570324.1
OG0005594			KAH0570325.1
OG0005595			KAH0570326.1
OG0005596			KAH0570329.1
OG0005597			KAH0570331.1
OG0005598			KAH0570333.1
OG0005599			KAH0570334.1
OG0005600			KAH0570335.1
OG0005601			KAH0570336.1
OG0005602			KAH0570337.1
OG0005603			KAH0570340.1
OG0005604			KAH0570345.1
OG0005605			KAH0570346.1
OG0005606			KAH0570348.1
OG0005607			KAH0570349.1
OG0005608			KAH0570351.1
OG0005609			KAH0570352.1
OG0005610			KAH0570353.1
OG0005611			KAH0570354.1
OG0005612			KAH0570356.1
OG0005613			KAH0570358.1
OG0005614			KAH0570359.1
OG0005615			KAH0570362.1
OG0005616			KAH0570363.1
OG0005617			KAH0570364.1
OG0005618			KAH0570365.1
OG0005619			KAH0570366.1
OG0005620			KAH0570374.1
OG0005621			KAH0570375.1
OG0005622			KAH0570376.1
OG0005623			KAH0570377.1
OG0005624			KAH0570379.1
OG0005625			KAH0570380.1
OG0005626			KAH0570381.1
OG0005627			KAH0570382.1
OG0005628			KAH0570383.1
OG0005629			KAH0570384.1
OG0005630			KAH0570385.1
OG0005631			KAH0570386.1
OG0005632			KAH0570387.1
OG0005633			KAH0570388.1
OG0005634			KAH0570389.1
OG0005635			KAH0570392.1
OG0005636			KAH0570394.1
OG0005637			KAH0570396.1
OG0005638			KAH0570397.1
OG0005639			KAH0570398.1
OG0005640			KAH0570399.1
OG0005641			KAH0570400.1
OG0005642			KAH0570401.1
OG0005643			KAH0570403.1
OG0005644			KAH0570404.1
OG0005645			KAH0570405.1
OG0005646			KAH0570409.1
OG0005647			KAH0570410.1
OG0005648			KAH0570414.1
OG0005649			KAH0570415.1
OG0005650			KAH0570416.1
OG0005651			KAH0570418.1
OG0005652			KAH0570420.1
OG0005653			KAH0570421.1
OG0005654			KAH0570423.1
OG0005655			KAH0570424.1
OG0005656			KAH0570426.1
OG0005657			KAH0570427.1
OG0005658			KAH0570430.1
OG0005659			KAH0570436.1
OG0005660			KAH0570437.1
OG0005661			KAH0570438.1
OG0005662			KAH0570440.1
OG0005663			KAH0570441.1
OG0005664			KAH0570442.1
OG0005665			KAH0570443.1
OG0005666			KAH0570445.1
OG0005667			KAH0570446.1
OG0005668			KAH0570447.1
OG0005669			KAH0570450.1
OG0005670			KAH0570452.1
OG0005671			KAH0570453.1
OG0005672			KAH0570455.1
OG0005673			KAH0570456.1
OG0005674			KAH0570457.1
OG0005675			KAH0570458.1
OG0005676			KAH0570459.1
OG0005677			KAH0570461.1
OG0005678			KAH0570464.1
OG0005679			KAH0570467.1
OG0005680			KAH0570470.1
OG0005681			KAH0570472.1
OG0005682			KAH0570474.1
OG0005683			KAH0570475.1
OG0005684			KAH0570476.1
OG0005685			KAH0570478.1
OG0005686			KAH0570480.1
OG0005687			KAH0570481.1
OG0005688			KAH0570482.1
OG0005689			KAH0570483.1
OG0005690			KAH0570484.1
OG0005691			KAH0570485.1
OG0005692			KAH0570487.1
OG0005693			KAH0570488.1
OG0005694			KAH0570489.1
OG0005695			KAH0570490.1
OG0005696			KAH0570491.1
OG0005697			KAH0570492.1
OG0005698			KAH0570493.1
OG0005699			KAH0570494.1
OG0005700			KAH0570495.1
OG0005701			KAH0570497.1
OG0005702			KAH0570498.1
OG0005703			KAH0570500.1
OG0005704			KAH0570501.1
OG0005705			KAH0570502.1
OG0005706			KAH0570503.1
OG0005707			KAH0570504.1
OG0005708			KAH0570507.1
OG0005709			KAH0570508.1
OG0005710			KAH0570509.1
OG0005711			KAH0570510.1
OG0005712			KAH0570511.1
OG0005713			KAH0570512.1
OG0005714			KAH0570514.1
OG0005715			KAH0570515.1
OG0005716			KAH0570516.1
OG0005717			KAH0570517.1
OG0005718			KAH0570518.1
OG0005719			KAH0570520.1
OG0005720			KAH0570521.1
OG0005721			KAH0570522.1
OG0005722			KAH0570523.1
OG0005723			KAH0570524.1
OG0005724			KAH0570529.1
OG0005725			KAH0570533.1
OG0005726			KAH0570534.1
OG0005727			KAH0570535.1
OG0005728			KAH0570536.1
OG0005729			KAH0570537.1
OG0005730			KAH0570538.1
OG0005731			KAH0570540.1
OG0005732			KAH0570541.1
OG0005733			KAH0570542.1
OG0005734			KAH0570545.1
OG0005735			KAH0570546.1
OG0005736			KAH0570547.1
OG0005737			KAH0570549.1
OG0005738			KAH0570550.1
OG0005739			KAH0570551.1
OG0005740			KAH0570554.1
OG0005741			KAH0570555.1
OG0005742			KAH0570557.1
OG0005743			KAH0570558.1
OG0005744			KAH0570562.1
OG0005745			KAH0570563.1
OG0005746			KAH0570564.1
OG0005747			KAH0570566.1
OG0005748			KAH0570567.1
OG0005749			KAH0570569.1
OG0005750			KAH0570571.1
OG0005751			KAH0570572.1
OG0005752			KAH0570575.1
OG0005753			KAH0570576.1
OG0005754			KAH0570577.1
OG0005755			KAH0570578.1
OG0005756			KAH0570579.1
OG0005757			KAH0570580.1
OG0005758			KAH0570584.1
OG0005759			KAH0570585.1
OG0005760			KAH0570586.1
OG0005761			KAH0570587.1
OG0005762			KAH0570588.1
OG0005763			KAH0570589.1
OG0005764			KAH0570591.1
OG0005765			KAH0570593.1
OG0005766			KAH0570594.1
OG0005767			KAH0570596.1
OG0005768			KAH0570598.1
OG0005769			KAH0570599.1
OG0005770			KAH0570600.1
OG0005771			KAH0570601.1
OG0005772			KAH0570602.1
OG0005773			KAH0570604.1
OG0005774			KAH0570610.1
OG0005775			KAH0570611.1
OG0005776			KAH0570612.1
OG0005777			KAH0570613.1
OG0005778			KAH0570616.1
OG0005779			KAH0570617.1
OG0005780			KAH0570619.1
OG0005781			KAH0570620.1
OG0005782			KAH0570621.1
OG0005783			KAH0570622.1
OG0005784			KAH0570625.1
OG0005785			KAH0570626.1
OG0005786			KAH0570629.1
OG0005787			KAH0570630.1
OG0005788			KAH0570632.1
OG0005789			KAH0570633.1
OG0005790			KAH0570634.1
OG0005791			KAH0570636.1
OG0005792			KAH0570638.1
OG0005793			KAH0570640.1
OG0005794			KAH0570641.1
OG0005795			KAH0570642.1
OG0005796			KAH0570644.1
OG0005797			KAH0570647.1
OG0005798			KAH0570648.1
OG0005799			KAH0570650.1
OG0005800			KAH0570651.1
OG0005801			KAH0570653.1
OG0005802			KAH0570654.1
OG0005803			KAH0570655.1
OG0005804			KAH0570656.1
OG0005805			KAH0570658.1
OG0005806			KAH0570659.1
OG0005807			KAH0570660.1
OG0005808			KAH0570662.1
OG0005809			KAH0570664.1
OG0005810			KAH0570666.1
OG0005811			KAH0570667.1
OG0005812			KAH0570668.1
OG0005813			KAH0570669.1
OG0005814			KAH0570670.1
OG0005815			KAH0570671.1
OG0005816			KAH0570672.1
OG0005817			KAH0570673.1
OG0005818			KAH0570674.1
OG0005819			KAH0570677.1
OG0005820			KAH0570678.1
OG0005821			KAH0570679.1
OG0005822			KAH0570680.1
OG0005823			KAH0570684.1
OG0005824			KAH0570686.1
OG0005825			KAH0570687.1
OG0005826			KAH0570688.1
OG0005827			KAH0570689.1
OG0005828			KAH0570690.1
OG0005829			KAH0570691.1
OG0005830			KAH0570692.1
OG0005831			KAH0570694.1
OG0005832			KAH0570696.1
OG0005833			KAH0570698.1
OG0005834			KAH0570699.1
OG0005835			KAH0570700.1
OG0005836			KAH0570701.1
OG0005837			KAH0570702.1
OG0005838			KAH0570703.1
OG0005839			KAH0570704.1
OG0005840			KAH0570706.1
OG0005841			KAH0570707.1
OG0005842			KAH0570709.1
OG0005843			KAH0570710.1
OG0005844			KAH0570711.1
OG0005845			KAH0570714.1
OG0005846			KAH0570715.1
OG0005847			KAH0570716.1
OG0005848			KAH0570717.1
OG0005849			KAH0570718.1
OG0005850			KAH0570720.1
OG0005851			KAH0570721.1
OG0005852			KAH0570722.1
OG0005853			KAH0570723.1
OG0005854			KAH0570724.1
OG0005855			KAH0570725.1
OG0005856			KAH0570726.1
OG0005857			KAH0570727.1
OG0005858			KAH0570730.1
OG0005859			KAH0570732.1
OG0005860			KAH0570733.1
OG0005861			KAH0570736.1
OG0005862			KAH0570738.1
OG0005863			KAH0570739.1
OG0005864			KAH0570741.1
OG0005865			KAH0570742.1
OG0005866			KAH0570743.1
OG0005867			KAH0570744.1
OG0005868			KAH0570747.1
OG0005869			KAH0570748.1
OG0005870			KAH0570749.1
OG0005871			KAH0570750.1
OG0005872			KAH0570751.1
OG0005873			KAH0570752.1
OG0005874			KAH0570753.1
OG0005875			KAH0570754.1
OG0005876			KAH0570755.1
OG0005877			KAH0570756.1
OG0005878			KAH0570757.1
OG0005879			KAH0570758.1
OG0005880			KAH0570759.1
OG0005881			KAH0570760.1
OG0005882			KAH0570761.1
OG0005883			KAH0570762.1
OG0005884			KAH0570763.1
OG0005885			KAH0570764.1
OG0005886			KAH0570765.1
OG0005887			KAH0570767.1
OG0005888			KAH0570768.1
OG0005889			KAH0570770.1
OG0005890			KAH0570771.1
OG0005891			KAH0570772.1
OG0005892			KAH0570773.1
OG0005893			KAH0570774.1
OG0005894			KAH0570776.1
OG0005895			KAH0570777.1
OG0005896			KAH0570778.1
OG0005897			KAH0570779.1
OG0005898			KAH0570781.1
OG0005899			KAH0570782.1
OG0005900			KAH0570784.1
OG0005901			KAH0570785.1
OG0005902			KAH0570786.1
OG0005903			KAH0570787.1
OG0005904			KAH0570788.1
OG0005905			KAH0570790.1
OG0005906			KAH0570791.1
OG0005907			KAH0570793.1
OG0005908			KAH0570794.1
OG0005909			KAH0570796.1
OG0005910			KAH0570798.1
OG0005911			KAH0570800.1
OG0005912			KAH0570802.1
OG0005913			KAH0570803.1
OG0005914			KAH0570805.1
OG0005915			KAH0570806.1
OG0005916			KAH0570807.1
OG0005917			KAH0570809.1
OG0005918			KAH0570810.1
OG0005919			KAH0570811.1
OG0005920			KAH0570813.1
OG0005921			KAH0570814.1
OG0005922			KAH0570815.1
OG0005923			KAH0570816.1
OG0005924			KAH0570817.1
OG0005925			KAH0570819.1
OG0005926			KAH0570820.1
OG0005927			KAH0570821.1
OG0005928			KAH0570822.1
OG0005929			KAH0570823.1
OG0005930			KAH0570825.1
OG0005931			KAH0570827.1
OG0005932			KAH0570828.1
OG0005933			KAH0570830.1
OG0005934			KAH0570831.1
OG0005935			KAH0570832.1
OG0005936			KAH0570833.1
OG0005937			KAH0570836.1
OG0005938			KAH0570837.1
OG0005939			KAH0570838.1
OG0005940			KAH0570840.1
OG0005941			KAH0570841.1
OG0005942			KAH0570842.1
OG0005943			KAH0570843.1
OG0005944			KAH0570844.1
OG0005945			KAH0570845.1
OG0005946			KAH0570847.1
OG0005947			KAH0570848.1
OG0005948			KAH0570849.1
OG0005949			KAH0570850.1
OG0005950			KAH0570851.1
OG0005951			KAH0570853.1
OG0005952			KAH0570854.1
OG0005953			KAH0570855.1
OG0005954			KAH0570857.1
OG0005955			KAH0570858.1
OG0005956			KAH0570860.1
OG0005957			KAH0570861.1
OG0005958			KAH0570862.1
OG0005959			KAH0570863.1
OG0005960			KAH0570865.1
OG0005961			KAH0570867.1
OG0005962			KAH0570868.1
OG0005963			KAH0570869.1
OG0005964			KAH0570870.1
OG0005965			KAH0570871.1
OG0005966			KAH0570873.1
OG0005967			KAH0570876.1
OG0005968			KAH0570877.1
OG0005969			KAH0570880.1
OG0005970			KAH0570883.1
OG0005971			KAH0570884.1
OG0005972			KAH0570885.1
OG0005973			KAH0570886.1
OG0005974			KAH0570888.1
OG0005975			KAH0570889.1
OG0005976			KAH0570890.1
OG0005977			KAH0570891.1
OG0005978			KAH0570892.1
OG0005979			KAH0570894.1
OG0005980			KAH0570896.1
OG0005981			KAH0570897.1
OG0005982			KAH0570899.1
OG0005983			KAH0570900.1
OG0005984			KAH0570901.1
OG0005985			KAH0570905.1
OG0005986			KAH0570907.1
OG0005987			KAH0570909.1
OG0005988			KAH0570910.1
OG0005989			KAH0570911.1
OG0005990			KAH0570912.1
OG0005991			KAH0570913.1
OG0005992			KAH0570914.1
OG0005993			KAH0570915.1
OG0005994			KAH0570916.1
OG0005995			KAH0570919.1
OG0005996			KAH0570920.1
OG0005997			KAH0570921.1
OG0005998			KAH0570922.1
OG0005999			KAH0570923.1
OG0006000			KAH0570924.1
OG0006001			KAH0570926.1
OG0006002			KAH0570929.1
OG0006003			KAH0570930.1
OG0006004			KAH0570931.1
OG0006005			KAH0570933.1
OG0006006			KAH0570934.1
OG0006007			KAH0570935.1
OG0006008			KAH0570936.1
OG0006009			KAH0570937.1
OG0006010			KAH0570938.1
OG0006011			KAH0570939.1
OG0006012			KAH0570940.1
OG0006013			KAH0570941.1
OG0006014			KAH0570942.1
OG0006015			KAH0570943.1
OG0006016			KAH0570944.1
OG0006017			KAH0570945.1
OG0006018			KAH0570946.1
OG0006019			KAH0570947.1
OG0006020			KAH0570948.1
OG0006021			KAH0570949.1
OG0006022			KAH0570952.1
OG0006023			KAH0570953.1
OG0006024			KAH0570958.1
OG0006025			KAH0570962.1
OG0006026			KAH0570964.1
OG0006027			KAH0570966.1
OG0006028			KAH0570968.1
OG0006029			KAH0570969.1
OG0006030			KAH0570970.1
OG0006031			KAH0570971.1
OG0006032			KAH0570972.1
OG0006033			KAH0570973.1
OG0006034			KAH0570974.1
OG0006035			KAH0570975.1
OG0006036			KAH0570976.1
OG0006037			KAH0570977.1
OG0006038			KAH0570978.1
OG0006039			KAH0570979.1
OG0006040			KAH0570980.1
OG0006041			KAH0570981.1
OG0006042			KAH0570982.1
OG0006043			KAH0570983.1
OG0006044			KAH0570984.1
OG0006045			KAH0570985.1
OG0006046			KAH0570989.1
OG0006047			KAH0570990.1
OG0006048			KAH0570991.1
OG0006049			KAH0570992.1
OG0006050			KAH0570993.1
OG0006051			KAH0570994.1
OG0006052			KAH0570995.1
OG0006053			KAH0570996.1
OG0006054			KAH0570998.1
OG0006055			KAH0570999.1
OG0006056			KAH0571000.1
OG0006057			KAH0571001.1
OG0006058			KAH0571002.1
OG0006059			KAH0571004.1
OG0006060			KAH0571005.1
OG0006061			KAH0571006.1
OG0006062			KAH0571007.1
OG0006063			KAH0571009.1
OG0006064			KAH0571010.1
OG0006065			KAH0571011.1
OG0006066			KAH0571012.1
OG0006067			KAH0571013.1
OG0006068			KAH0571014.1
OG0006069			KAH0571016.1
OG0006070			KAH0571017.1
OG0006071			KAH0571018.1
OG0006072			KAH0571019.1
OG0006073			KAH0571020.1
OG0006074			KAH0571023.1
OG0006075			KAH0571025.1
OG0006076			KAH0571026.1
OG0006077			KAH0571030.1
OG0006078			KAH0571031.1
OG0006079			KAH0571032.1
OG0006080			KAH0571033.1
OG0006081			KAH0571034.1
OG0006082			KAH0571035.1
OG0006083			KAH0571038.1
OG0006084			KAH0571039.1
OG0006085			KAH0571040.1
OG0006086			KAH0571041.1
OG0006087			KAH0571043.1
OG0006088			KAH0571045.1
OG0006089			KAH0571046.1
OG0006090			KAH0571047.1
OG0006091			KAH0571048.1
OG0006092			KAH0571049.1
OG0006093			KAH0571050.1
OG0006094			KAH0571052.1
OG0006095			KAH0571053.1
OG0006096			KAH0571054.1
OG0006097			KAH0571055.1
OG0006098			KAH0571056.1
OG0006099			KAH0571059.1
OG0006100			KAH0571060.1
OG0006101			KAH0571062.1
OG0006102			KAH0571063.1
OG0006103			KAH0571064.1
OG0006104			KAH0571065.1
OG0006105			KAH0571067.1
OG0006106			KAH0571068.1
OG0006107			KAH0571069.1
OG0006108			KAH0571071.1
OG0006109			KAH0571073.1
OG0006110			KAH0571074.1
OG0006111			KAH0571075.1
OG0006112			KAH0571076.1
OG0006113			KAH0571077.1
OG0006114			KAH0571078.1
OG0006115			KAH0571082.1
OG0006116			KAH0571084.1
OG0006117			KAH0571086.1
OG0006118			KAH0571089.1
OG0006119			KAH0571090.1
OG0006120			KAH0571091.1
OG0006121			KAH0571092.1
OG0006122			KAH0571093.1
OG0006123			KAH0571094.1
OG0006124			KAH0571095.1
OG0006125			KAH0571097.1
OG0006126			KAH0571098.1
OG0006127			KAH0571099.1
OG0006128			KAH0571101.1
OG0006129			KAH0571103.1
OG0006130			KAH0571104.1
OG0006131			KAH0571106.1
OG0006132			KAH0571107.1
OG0006133			KAH0571108.1
OG0006134			KAH0571109.1
OG0006135			KAH0571110.1
OG0006136			KAH0571111.1
OG0006137			KAH0571112.1
OG0006138			KAH0571113.1
OG0006139			KAH0571115.1
OG0006140			KAH0571116.1
OG0006141			KAH0571117.1
OG0006142			KAH0571119.1
OG0006143			KAH0571120.1
OG0006144			KAH0571121.1
OG0006145			KAH0571122.1
OG0006146			KAH0571124.1
OG0006147			KAH0571125.1
OG0006148			KAH0571128.1
OG0006149			KAH0571129.1
OG0006150			KAH0571132.1
OG0006151			KAH0571133.1
OG0006152			KAH0571135.1
OG0006153			KAH0571137.1
OG0006154			KAH0571138.1
OG0006155			KAH0571141.1
OG0006156			KAH0571146.1
OG0006157			KAH0571147.1
OG0006158			KAH0571148.1
OG0006159			KAH0571149.1
OG0006160			KAH0571151.1
OG0006161			KAH0571152.1
OG0006162			KAH0571153.1
OG0006163			KAH0571155.1
OG0006164			KAH0571156.1
OG0006165			KAH0571157.1
OG0006166			KAH0571158.1
OG0006167			KAH0571159.1
OG0006168			KAH0571160.1
OG0006169			KAH0571161.1
OG0006170			KAH0571162.1
OG0006171			KAH0571163.1
OG0006172			KAH0571164.1
OG0006173			KAH0571165.1
OG0006174			KAH0571166.1
OG0006175			KAH0571170.1
OG0006176			KAH0571171.1
OG0006177			KAH0571172.1
OG0006178			KAH0571173.1
OG0006179			KAH0571174.1
OG0006180			KAH0571175.1
OG0006181			KAH0571176.1
OG0006182			KAH0571178.1
OG0006183			KAH0571179.1
OG0006184			KAH0571180.1
OG0006185			KAH0571182.1
OG0006186			KAH0571183.1
OG0006187			KAH0571184.1
OG0006188			KAH0571185.1
OG0006189			KAH0571189.1
OG0006190			KAH0571192.1
OG0006191			KAH0571193.1
OG0006192			KAH0571194.1
OG0006193			KAH0571195.1
OG0006194			KAH0571196.1
OG0006195			KAH0571197.1
OG0006196			KAH0571199.1
OG0006197			KAH0571203.1
OG0006198			KAH0571204.1
OG0006199			KAH0571206.1
OG0006200			KAH0571214.1
OG0006201			KAH0571215.1
OG0006202			KAH0571217.1
OG0006203			KAH0571219.1
OG0006204			KAH0571220.1
OG0006205			KAH0571221.1
OG0006206			KAH0571222.1
OG0006207			KAH0571223.1
OG0006208			KAH0571225.1
OG0006209			KAH0571226.1
OG0006210			KAH0571227.1
OG0006211			KAH0571230.1
OG0006212			KAH0571231.1
OG0006213			KAH0571234.1
OG0006214			KAH0571235.1
OG0006215			KAH0571236.1
OG0006216			KAH0571240.1
OG0006217			KAH0571242.1
OG0006218			KAH0571244.1
OG0006219			KAH0571246.1
OG0006220			KAH0571248.1
OG0006221			KAH0571250.1
OG0006222			KAH0571252.1
OG0006223			KAH0571254.1
OG0006224			KAH0571256.1
OG0006225			KAH0571260.1
OG0006226			KAH0571261.1
OG0006227			KAH0571262.1
OG0006228			KAH0571264.1
OG0006229			KAH0571265.1
OG0006230			KAH0571266.1
OG0006231			KAH0571267.1
OG0006232			KAH0571269.1
OG0006233			KAH0571270.1
OG0006234			KAH0571271.1
OG0006235			KAH0571274.1
OG0006236			KAH0571277.1
OG0006237			KAH0571279.1
OG0006238			KAH0571280.1
OG0006239			KAH0571282.1
OG0006240			KAH0571283.1
OG0006241			KAH0571284.1
OG0006242			KAH0571285.1
OG0006243			KAH0571286.1
OG0006244			KAH0571287.1
OG0006245			KAH0571289.1
OG0006246			KAH0571291.1
OG0006247			KAH0571292.1
OG0006248			KAH0571296.1
OG0006249			KAH0571298.1
OG0006250			KAH0571299.1
OG0006251			KAH0571300.1
OG0006252			KAH0571301.1
OG0006253			KAH0571302.1
OG0006254			KAH0571303.1
OG0006255			KAH0571304.1
OG0006256			KAH0571305.1
OG0006257			KAH0571306.1
OG0006258			KAH0571309.1
OG0006259			KAH0571310.1
OG0006260			KAH0571311.1
OG0006261			KAH0571312.1
OG0006262			KAH0571315.1
OG0006263			KAH0571317.1
OG0006264			KAH0571318.1
OG0006265			KAH0571319.1
OG0006266			KAH0571320.1
OG0006267			KAH0571321.1
OG0006268			KAH0571323.1
OG0006269			KAH0571324.1
OG0006270			KAH0571325.1
OG0006271			KAH0571329.1
OG0006272			KAH0571330.1
OG0006273			KAH0571332.1
OG0006274			KAH0571334.1
OG0006275			KAH0571336.1
OG0006276			KAH0571337.1
OG0006277			KAH0571338.1
OG0006278			KAH0571339.1
OG0006279			KAH0571340.1
OG0006280			KAH0571341.1
OG0006281			KAH0571342.1
OG0006282			KAH0571343.1
OG0006283			KAH0571348.1
OG0006284			KAH0571349.1
OG0006285			KAH0571350.1
OG0006286			KAH0571351.1
OG0006287			KAH0571352.1
OG0006288			KAH0571353.1
OG0006289			KAH0571359.1
OG0006290			KAH0571361.1
OG0006291			KAH0571362.1
OG0006292			KAH0571363.1
OG0006293			KAH0571364.1
OG0006294			KAH0571365.1
OG0006295			KAH0571366.1
OG0006296			KAH0571368.1
OG0006297			KAH0571369.1
OG0006298			KAH0571371.1
OG0006299			KAH0571374.1
OG0006300			KAH0571375.1
OG0006301			KAH0571377.1
OG0006302			KAH0571378.1
OG0006303			KAH0571379.1
OG0006304			KAH0571385.1
OG0006305			KAH0571386.1
OG0006306			KAH0571387.1
OG0006307			KAH0571388.1
OG0006308			KAH0571390.1
OG0006309			KAH0571392.1
OG0006310			KAH0571394.1
OG0006311			KAH0571395.1
OG0006312			KAH0571396.1
OG0006313			KAH0571397.1
OG0006314			KAH0571398.1
OG0006315			KAH0571399.1
OG0006316			KAH0571401.1
OG0006317			KAH0571402.1
OG0006318			KAH0571403.1
OG0006319			KAH0571405.1
OG0006320			KAH0571406.1
OG0006321			KAH0571408.1
OG0006322			KAH0571411.1
OG0006323			KAH0571412.1
OG0006324			KAH0571413.1
OG0006325			KAH0571414.1
OG0006326			KAH0571415.1
OG0006327			KAH0571416.1
OG0006328			KAH0571417.1
OG0006329			KAH0571418.1
OG0006330			KAH0571419.1
OG0006331			KAH0571421.1
OG0006332			KAH0571422.1
OG0006333			KAH0571423.1
OG0006334			KAH0571424.1
OG0006335			KAH0571425.1
OG0006336			KAH0571427.1
OG0006337			KAH0571428.1
OG0006338			KAH0571429.1
OG0006339			KAH0571430.1
OG0006340			KAH0571432.1
OG0006341			KAH0571434.1
OG0006342			KAH0571436.1
OG0006343			KAH0571437.1
OG0006344			KAH0571438.1
OG0006345			KAH0571439.1
OG0006346			KAH0571440.1
OG0006347			KAH0571442.1
OG0006348			KAH0571443.1
OG0006349			KAH0571445.1
OG0006350			KAH0571447.1
OG0006351			KAH0571448.1
OG0006352			KAH0571449.1
OG0006353			KAH0571451.1
OG0006354			KAH0571455.1
OG0006355			KAH0571456.1
OG0006356			KAH0571457.1
OG0006357			KAH0571459.1
OG0006358			KAH0571460.1
OG0006359			KAH0571461.1
OG0006360			KAH0571464.1
OG0006361			KAH0571465.1
OG0006362			KAH0571469.1
OG0006363			KAH0571470.1
OG0006364			KAH0571471.1
OG0006365			KAH0571472.1
OG0006366			KAH0571473.1
OG0006367			KAH0571474.1
OG0006368			KAH0571475.1
OG0006369			KAH0571476.1
OG0006370			KAH0571477.1
OG0006371			KAH0571478.1
OG0006372			KAH0571482.1
OG0006373			KAH0571483.1
OG0006374			KAH0571488.1
OG0006375			KAH0571489.1
OG0006376			KAH0571492.1
OG0006377			KAH0571494.1
OG0006378			KAH0571499.1
OG0006379			KAH0571501.1
OG0006380			KAH0571503.1
OG0006381			KAH0571507.1
OG0006382			KAH0571508.1
OG0006383			KAH0571509.1
OG0006384			KAH0571510.1
OG0006385			KAH0571511.1
OG0006386			KAH0571512.1
OG0006387			KAH0571513.1
OG0006388			KAH0571514.1
OG0006389			KAH0571515.1
OG0006390			KAH0571520.1
OG0006391			KAH0571521.1
OG0006392			KAH0571522.1
OG0006393			KAH0571523.1
OG0006394			KAH0571524.1
OG0006395			KAH0571526.1
OG0006396			KAH0571527.1
OG0006397			KAH0571528.1
OG0006398			KAH0571530.1
